_Farmer,BAC1,BAC2,BAC3,BAC4,BAC5,BAC6,BAC7,BAC8,MAD1,MAD2_1,MAD2_2,MAD2_3,MAD2_4,MAD2_5,MAD3_1,MAD3_2,MAD3_3,MAD3_4,MAD3_5,MAD4,INO1_1,INO1_2,INO1_3,INO1_4,INO1_5,COM2_1,COM2_2,COM2_3,COM2_4,OUT1_1,OUT1_2,OUT1_3,ADO1,ADO2,ADO3,SRI1,SRI2,SRI3,IMP1_1,IMP1_2,IMP1_3,IMP2,ASI1_1,ASI1_2,ASI1_3,_Pick7,INO2_1,INO2_2,INO2_3,INO2_4,INO2_5,COM1_1,COM1_2,COM1_3,COM1_4,COM1_5,COM1_6,COM1_7,OUT2_1,OUT2_2,OUT2_3,OUT2_4,OUT2_5
Ya,37,0.5,2,4,1,4,0,2,4,5,5,2,5,5,1,5,1,5,1,5,5,5,5,5,5,3,3,3,3,4,1,1,3,4,4,5,4,1,5,5,5,3,5,2,5,7,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Ya,29,0.7,2,4,1,4,0,2,5,1,3,5,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,5,4,5,5,5,7,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
Ya,34,1,3,4,1,4,0,2,5,1,2,5,4,3,5,5,5,5,5,1,5,3,5,5,5,4,5,5,5,3,4,3,3,5,5,5,3,1,5,4,5,3,5,5,5,7,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0
Ya,32,0.3,3,4,1,4,0,2,5,5,2,3,4,5,1,1,1,5,1,5,4,3,4,5,5,3,5,1,5,5,3,3,1,5,5,5,5,1,5,5,5,3,5,5,5,7,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0
Ya,49,0.6,3,3,1,4,1,2,5,2,1,4,5,3,1,1,1,5,1,5,5,5,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,1,5,3,3,3,5,3,3,7,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0
Ya,46,1.5,3,3,1,4,0,2,5,1,3,4,5,2,5,5,5,5,5,3,3,3,3,5,3,3,2,3,3,3,5,3,1,5,5,5,3,1,5,3,3,3,5,3,3,7,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
Ya,38,0.5,2,3,1,3,0,2,5,1,3,5,4,2,1,1,1,4,1,3,3,3,3,3,3,3,3,3,3,5,3,3,5,5,5,5,3,1,0,0,5,1,5,3,3,7,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
Ya,56,0.8,1,3,0,1,0,2,5,1,3,5,4,2,5,3,3,3,3,5,3,5,3,3,3,3,3,3,5,5,3,3,1,5,5,5,5,0,3,3,5,2,5,3,3,7,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Ya,54,1,1,4,1,1,1,2,3,1,3,5,4,2,1,1,1,1,1,3,5,3,3,3,3,5,3,3,3,5,3,3,1,5,5,5,5,1,5,3,3,2,1,3,3,7,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Ya,57,1,1,4,1,1,0,2,5,1,3,5,4,2,5,5,5,5,5,1,5,3,3,3,3,5,5,5,5,1,3,1,1,1,5,5,5,1,0,0,5,1,5,3,3,7,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Ya,67,1,1,3,0,1,0,2,3,1,3,5,4,2,1,1,1,1,1,3,3,3,3,3,3,5,4,5,5,1,3,1,1,1,5,5,5,0,4,3,4,1,1,3,3,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ya,39,0.3,1,4,1,1,0,2,5,1,3,5,4,2,5,5,5,5,5,1,1,1,1,1,1,5,5,5,5,1,1,1,1,1,5,5,5,1,5,5,5,1,1,1,1,7,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Ya,45,0.3,1,2,1,1,0,2,3,2,4,1,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,5,3,3,1,5,5,5,1,1,1,1,7,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Ya,42,2.5,2,4,0,1,0,2,5,1,2,4,5,3,3,3,3,3,3,5,3,3,3,3,3,5,5,5,5,4,5,3,1,3,5,5,5,1,5,5,5,2,5,4,3,7,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0
Ya,35,1,2,4,1,1,1,2,4,1,3,5,4,2,1,5,1,1,1,2,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,1,3,3,3,7,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
Ya,46,0.5,1,4,0,1,0,1,5,1,2,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,5,4,5,5,5,7,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0
Ya,53,0.6,2,4,1,1,0,1,5,1,2,5,3,4,1,2,3,4,4,5,1,2,5,5,5,3,5,3,3,5,3,3,5,5,5,5,5,1,0,0,5,3,3,3,5,7,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
Ya,55,1,1,4,0,1,0,1,5,1,4,3,5,2,5,5,5,5,5,5,5,5,5,5,5,3,3,3,5,5,5,5,1,5,5,5,5,1,5,5,5,4,5,5,5,7,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0
Ya,40,1.5,2,5,1,1,0,1,3,2,3,1,4,5,3,3,3,3,3,5,3,2,5,1,3,3,5,5,3,5,5,3,1,5,5,3,3,0,3,3,5,3,3,1,3,7,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0
Ya,40,1,3,5,1,1,1,1,5,1,2,4,5,3,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,1,5,5,4,5,5,5,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ya,31,0.25,1,3,1,1,0,1,5,1,3,5,4,2,3,3,3,5,3,1,3,5,3,3,3,3,5,3,3,5,3,3,5,5,1,1,5,0,0,5,0,2,5,3,3,7,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0
Ya,54,0.7,1,4,1,1,1,1,5,1,2,3,5,4,3,1,2,3,2,2,3,2,2,2,2,2,2,3,2,5,2,3,2,3,3,3,3,1,0,1,1,4,2,2,3,7,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0
Ya,40,0.3,1,4,0,1,0,1,5,1,2,4,3,5,5,4,3,4,3,5,4,4,3,3,4,4,4,3,3,5,3,3,1,1,1,5,5,0,0,0,0,1,2,1,1,7,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0
Ya,64,1,1,2,0,1,0,1,5,1,3,4,5,2,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,0,3,5,3,2,5,3,3,7,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
Ya,52,1.25,2,2,0,1,0,1,5,1,3,5,4,2,5,5,1,1,1,3,3,5,3,3,3,5,3,3,3,3,5,3,3,3,1,5,1,1,0,5,0,2,3,3,5,7,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Ya,61,0.6,2,2,0,1,0,1,5,1,2,3,4,5,5,5,5,1,5,5,5,5,5,5,5,3,3,5,5,5,1,5,1,5,5,5,5,0,5,1,0,3,1,5,1,7,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
Ya,48,0.6,2,5,1,1,1,1,5,1,2,3,4,5,5,5,5,1,5,5,5,5,5,5,5,1,1,5,5,5,1,5,1,5,5,5,5,0,5,1,0,3,1,5,1,7,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0
Ya,44,2,2,2,0,1,1,1,5,1,3,5,4,2,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,5,5,5,5,5,0,5,5,5,2,1,1,5,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Ya,27,0.9,2,4,1,1,1,1,5,1,3,5,4,2,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,2,5,5,5,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Ya,49,0.4,1,4,1,1,0,1,5,1,2,3,4,5,3,4,1,5,2,5,1,3,4,3,5,1,2,4,3,5,3,1,1,5,5,1,1,0,5,1,0,3,5,1,3,7,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
Ya,60,2,4,4,0,1,0,1,5,2,3,5,4,1,1,1,1,5,1,5,3,3,3,3,5,3,3,5,3,3,3,5,1,5,5,5,5,0,0,0,0,2,5,3,3,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Ya,64,1,2,3,0,1,0,1,2,2,1,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,5,3,3,3,3,3,0,0,0,0,1,1,1,1,7,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
Ya,67,1.5,2,3,0,1,1,1,5,1,3,5,4,2,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,1,5,5,5,5,1,5,5,5,3,5,5,5,7,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0
Ya,62,1,1,5,1,1,0,1,5,2,4,5,1,3,5,5,5,5,5,1,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,1,3,3,3,7,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0
Ya,60,1,2,4,1,1,1,1,1,1,2,4,5,3,3,3,3,3,5,1,3,3,3,3,5,3,3,3,3,3,5,3,3,5,5,5,5,1,4,3,5,2,3,3,5,7,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Ya,60,0.6,2,4,1,1,1,1,5,2,3,4,1,5,3,5,3,3,5,5,3,3,3,3,5,3,3,3,5,5,5,5,5,2,1,1,1,1,0,0,5,2,3,3,5,7,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0
Ya,40,0.4,1,3,1,1,1,1,5,1,2,5,3,4,5,1,5,1,1,5,1,1,5,1,5,3,3,3,5,3,5,3,1,5,5,5,5,0,1,5,1,2,5,5,3,7,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0
Ya,70,1,1,2,0,1,1,1,5,2,3,5,4,1,5,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,4,4,3,5,5,5,5,1,4,4,3,4,5,4,4,7,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0
Ya,66,0.45,2,5,0,1,1,1,5,2,3,1,5,4,5,4,3,3,4,5,3,3,3,5,3,3,4,4,5,5,3,4,1,1,1,5,5,1,0,5,0,2,3,5,3,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ya,56,2,2,2,1,1,1,1,5,5,1,3,2,4,5,5,5,5,5,5,5,5,3,5,5,1,5,5,5,2,1,1,5,5,5,5,5,0,5,1,5,4,5,1,3,7,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Ya,60,2,2,2,0,1,1,1,5,5,1,3,4,2,5,5,5,5,5,5,5,5,5,3,5,1,5,5,5,2,1,1,5,5,5,5,5,0,5,1,5,4,5,1,5,7,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0
Ya,53,0.25,2,4,1,1,1,1,5,2,1,3,4,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,5,5,4,5,5,5,7,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0
Ya,55,0.25,1,4,0,1,0,1,5,2,1,3,4,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,4,5,5,5,7,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0
Ya,65,0.4,3,2,0,1,0,1,5,1,2,4,5,3,5,5,4,5,5,5,3,3,3,3,3,5,5,5,5,3,3,3,5,5,5,5,5,1,5,5,5,4,5,5,5,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ya,52,4,3,5,1,1,1,1,5,1,2,3,4,5,4,5,3,2,1,5,5,5,5,5,5,5,5,5,5,3,3,3,5,5,5,5,5,1,5,5,5,2,5,5,5,7,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
Ya,60,0.4,1,4,1,1,0,1,5,3,2,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,2,5,5,5,7,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0
Ya,60,0.33,1,4,0,1,0,1,3,1,2,3,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,0,0,0,0,1,3,3,3,7,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
Ya,59,0.33,1,4,0,1,0,1,3,1,2,4,5,3,3,5,1,1,1,3,4,3,5,4,3,5,4,5,5,4,2,3,1,3,5,3,1,0,0,0,0,1,3,3,3,7,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0
Ya,49,0.35,1,2,0,1,0,1,5,1,3,5,4,2,1,5,3,2,2,1,3,3,3,3,3,1,3,3,3,5,3,5,1,3,3,5,1,1,0,0,0,1,3,3,3,7,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Ya,41,0.4,1,3,0,1,0,1,4,1,2,4,5,3,1,5,3,4,2,5,5,5,5,5,5,1,5,5,1,5,5,1,1,5,5,5,3,1,5,5,5,1,5,5,5,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ya,50,0.4,1,2,1,1,0,1,5,1,2,4,5,3,2,5,3,1,1,3,3,3,3,5,3,3,3,3,4,4,3,3,3,5,5,5,5,0,0,0,5,1,5,3,3,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ya,52,0.2,2,2,0,1,0,1,5,1,2,4,5,3,1,5,5,5,5,5,5,5,5,5,5,3,5,3,3,3,5,3,3,3,3,3,3,0,0,0,0,1,3,3,3,7,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
Ya,50,0.35,1,2,0,1,0,1,5,1,2,3,4,5,5,5,5,1,1,1,5,2,2,1,1,1,5,5,1,5,1,1,1,5,1,5,5,1,5,5,5,1,5,5,5,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ya,59,4.25,3,2,0,1,1,1,5,1,2,4,5,3,5,5,5,5,5,5,3,3,3,3,5,5,3,3,3,3,5,3,5,5,5,5,5,1,5,5,5,4,5,5,5,7,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Ya,60,1.5,1,4,0,1,0,1,4,2,1,5,4,3,1,5,5,1,1,5,3,5,3,3,3,3,5,3,3,5,3,3,1,5,5,5,4,0,0,0,5,1,5,3,3,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ya,45,0.4,1,3,0,1,0,1,5,2,1,4,5,3,2,5,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,4,5,5,5,7,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0
Ya,51,0.4,2,4,0,1,1,1,5,1,2,3,4,5,5,3,2,4,1,5,5,4,3,3,3,4,5,5,4,5,4,4,3,4,5,5,5,1,5,4,5,2,5,5,5,7,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0
Ya,42,0.4,1,4,1,1,0,1,3,1,3,4,5,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,1,5,5,5,5,0,5,1,5,3,5,5,3,7,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0
Ya,45,0.2,2,2,0,1,0,1,4,1,3,5,4,2,1,1,1,5,1,3,3,3,5,3,3,3,5,3,3,3,3,5,2,5,5,2,1,0,0,0,5,1,3,5,3,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Ya,68,0.5,1,2,0,1,0,1,5,1,3,5,4,2,1,1,5,1,1,5,3,5,3,3,3,3,3,5,3,5,3,3,3,3,3,3,3,0,0,0,0,1,3,3,3,7,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Ya,67,0.1,2,3,0,1,0,1,3,1,2,5,4,3,5,5,3,1,1,3,3,3,3,3,3,5,3,3,3,5,3,3,5,5,5,5,5,1,5,5,5,2,5,5,5,7,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Ya,79,0.2,1,4,0,1,1,1,5,1,3,5,4,2,1,3,1,3,5,1,3,3,3,3,5,3,3,3,5,3,5,3,1,3,5,5,5,0,0,0,5,1,3,3,3,7,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0
Ya,55,1,1,3,0,1,1,1,2,2,1,4,5,3,2,5,3,5,3,2,1,1,1,2,5,4,5,2,3,3,5,3,1,2,2,2,2,0,0,1,0,1,5,3,3,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Ya,70,0.5,1,5,0,1,0,1,2,1,3,5,4,2,3,3,3,3,3,5,5,3,3,3,3,3,3,3,5,5,3,3,5,1,1,5,1,0,5,5,5,2,5,5,1,7,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Ya,60,0.25,1,2,0,1,0,1,1,1,3,5,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,1,3,3,3,7,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0
Ya,69,1,3,2,0,1,0,1,3,1,3,5,4,2,5,3,3,3,3,5,3,5,3,3,3,3,5,3,3,3,5,3,3,1,5,1,1,1,5,0,0,3,5,3,3,7,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Ya,64,0.5,1,2,0,1,0,1,5,2,3,5,4,1,3,3,3,3,3,3,3,3,3,5,3,3,3,5,3,3,3,3,1,3,5,1,1,0,0,0,0,1,3,3,3,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Ya,75,0.6,1,2,0,1,0,1,5,1,3,5,4,2,3,3,3,3,3,5,3,3,3,5,3,3,5,3,3,5,3,3,5,3,5,1,1,1,5,0,0,2,3,5,3,7,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Ya,70,0.33,2,3,0,1,1,1,5,1,2,3,4,5,4,5,3,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,2,5,5,5,7,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
Ya,35,0.3,2,5,1,1,1,1,5,1,2,5,4,3,4,5,3,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,2,5,5,5,7,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0
Ya,48,0.4,1,2,0,1,0,1,3,2,1,3,5,4,5,5,5,5,5,5,3,3,3,3,5,3,3,5,3,3,5,3,3,5,5,3,3,1,5,0,0,3,5,3,3,7,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
Ya,64,0.7,2,4,1,1,0,1,5,1,2,3,4,5,5,5,5,4,4,5,5,5,4,5,3,5,5,5,4,5,5,5,3,2,3,1,5,0,0,0,0,1,3,3,3,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Ya,58,0.7,2,4,1,1,0,1,5,1,2,3,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,3,3,3,3,5,0,0,0,0,1,3,3,3,7,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0
Ya,50,0.5,2,3,1,1,0,1,4,1,2,3,5,4,5,5,5,5,5,3,5,5,5,5,3,3,3,5,3,3,3,3,3,4,4,4,3,1,4,3,3,4,3,3,3,7,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0
Ya,69,0.5,2,2,0,1,0,1,5,1,3,5,4,2,5,3,1,1,1,3,3,3,3,3,5,3,2,3,3,5,5,5,5,1,1,1,3,1,0,5,0,4,5,5,5,7,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ya,48,2,2,4,1,1,0,1,5,1,4,5,3,2,2,3,5,4,2,3,3,3,3,5,4,4,2,3,2,5,5,1,3,4,4,3,3,1,3,3,4,3,4,4,4,7,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0
Ya,74,2.5,1,2,0,1,0,1,5,1,3,5,4,2,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,5,5,5,1,0,0,0,0,4,5,3,3,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Ya,50,1,1,2,1,1,1,1,5,1,2,5,4,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,3,3,5,3,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Ya,55,0.5,1,2,0,1,0,1,5,1,2,5,4,3,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,2,5,5,5,7,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
Ya,55,0.5,1,4,1,1,0,1,4,3,1,4,5,2,3,5,5,4,4,2,3,2,3,3,3,4,5,4,5,4,5,4,3,4,3,4,3,1,3,5,2,1,4,5,4,7,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0
Ya,60,1,1,4,0,1,1,1,3,1,2,5,4,3,5,5,5,5,5,4,5,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,0,3,5,0,3,3,5,5,7,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
Ya,62,0.4,3,2,0,1,1,1,3,1,3,5,4,2,3,3,3,3,3,5,5,5,5,5,5,3,3,5,3,3,5,3,5,5,5,5,5,1,0,5,0,2,3,3,3,7,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
Ya,49,1,3,5,1,4,1,1,5,1,2,3,4,5,3,4,4,4,3,4,4,4,3,3,4,3,4,5,4,4,3,4,3,5,5,4,3,1,5,5,5,3,3,3,4,7,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0
Ya,54,1.2,1,4,1,1,1,1,5,2,1,4,3,5,5,1,2,5,5,5,3,4,5,3,3,3,5,3,3,5,3,3,3,3,3,3,3,0,5,4,2,2,2,4,5,7,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
Ya,52,2,2,2,1,1,1,1,5,2,1,4,5,3,2,1,5,1,2,5,4,5,5,2,5,3,5,5,5,5,5,5,5,4,5,5,5,1,5,5,3,1,5,5,5,7,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
Ya,58,1,2,3,1,1,1,1,5,2,1,3,5,4,2,1,5,1,2,5,4,5,5,2,5,3,5,5,5,5,5,3,5,4,5,5,5,1,5,5,3,2,5,5,5,7,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
Ya,36,1.5,3,2,0,4,0,1,5,2,3,5,1,4,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,1,3,3,3,7,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0
Ya,47,0.5,1,4,1,1,0,1,3,1,3,5,4,2,5,5,5,5,5,3,3,3,3,3,4,3,5,2,2,3,1,2,2,2,4,4,3,1,3,3,3,4,1,1,1,7,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
Ya,79,0.15,1,2,0,1,0,1,3,1,3,4,5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,1,3,3,3,7,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0
Ya,52,0.4,2,3,0,1,0,1,3,1,3,4,5,2,3,5,3,3,3,5,3,3,3,5,3,3,5,3,3,5,3,3,1,3,3,3,3,0,0,0,0,1,3,3,3,7,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Ya,55,4,2,2,0,1,0,1,5,2,3,5,4,1,3,3,3,3,5,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,1,3,3,3,7,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0
Ya,45,0.15,1,4,1,2,0,1,3,1,2,3,4,5,2,5,2,4,2,2,3,1,2,4,2,1,5,5,5,2,2,2,1,1,1,2,1,0,3,3,2,1,2,2,2,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
Ya,50,0.15,1,2,1,1,0,1,3,2,1,5,4,3,3,5,5,5,3,3,5,5,3,3,3,5,5,5,5,2,2,2,1,1,1,1,1,0,1,0,0,1,1,1,1,7,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
Ya,45,0.15,1,4,1,1,0,1,5,2,3,5,4,1,3,3,5,3,3,5,5,5,5,4,5,5,5,5,5,5,5,3,1,1,1,1,1,0,1,0,1,4,1,1,1,7,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
Ya,64,2,3,2,0,1,0,1,5,3,2,1,4,5,3,3,3,3,3,5,5,5,5,5,5,1,1,1,1,5,5,5,1,5,5,5,5,0,5,5,5,4,5,5,5,7,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Ya,74,0.6,2,2,1,1,0,1,5,3,2,5,4,1,3,5,3,3,3,5,3,5,3,3,3,3,5,3,3,5,3,3,3,5,5,5,5,0,0,5,0,4,3,3,5,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Ya,47,0.5,2,4,1,1,0,1,5,2,1,3,4,5,3,3,3,3,3,1,3,3,3,3,3,3,5,3,3,5,5,5,1,5,5,5,5,0,5,1,1,1,5,4,5,7,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
Ya,55,0.2,1,4,1,1,0,1,5,3,2,4,5,1,3,5,3,3,3,5,3,5,3,3,3,3,5,3,3,5,3,3,5,5,5,5,5,1,0,5,0,4,3,3,5,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Ya,60,1,2,2,0,1,0,1,3,2,3,5,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,5,5,1,5,1,5,0,0,1,5,3,3,7,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0
Ya,55,2.5,2,4,0,1,0,1,5,1,3,5,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,0,5,5,5,1,1,5,5,7,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Ya,61,0.3,1,4,0,1,0,1,4,1,2,3,5,4,4,5,3,4,3,5,4,4,1,3,4,5,5,5,5,5,5,5,1,5,1,5,5,0,5,5,5,1,5,5,5,7,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
Ya,63,1,2,2,0,1,0,1,5,1,3,5,4,2,3,3,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,3,3,5,1,3,3,5,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Ya,60,0.5,1,3,0,1,0,1,5,1,3,4,5,2,3,3,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,3,3,5,1,3,3,5,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
